Region,Country,Category (h2),Newspapers,Count
Africa,Uganda,English-Language Publications,"Daily Monitor: monitor.co.ug, New Vision: newvision.co.ug, The Observer: observer.ug, The Independent: independent.co.ug, ChimpReports: chimpreports.com, Nile Post: nilepost.co.ug, SoftPower News: softpower.ug, PML Daily: pmldaily.com, The Pearl Times: pearltimes.co.ug, Uganda Radio Network (URN): ugandaradionetwork.net, The Kampala Post: thekampalapost.com, CEO Magazine Uganda: ceo.co.ug",12
Africa,Uganda,Luganda & Other Local Language Publications,"Bukedde: bukedde.co.ug, Bukedde TV Online: bukeddetv.co.ug, Spy Uganda: spyuganda.com, Ggwanga Online: ggwanga.com, Uganda Online: ugandaonline.net, Eddoboozi: eddoboozi.com, Tugende Radio: tugenderadio.com, Ekyooto Uganda: ekyooto.com, Ampaire News: ampaire.com, Rupiny: rupiny.co.ug",10
Africa,Zimbabwe,Business and Specialized Publications,"Financial Gazette: fingaz.co.zw, Zimbabwe Business Times: zimbusinesstimes.com",2
Africa,Zimbabwe,English-Language Publications,"The Herald: herald.co.zw, NewsDay: newsday.co.zw, The Standard: thestandard.co.zw, Zimbabwe Independent: theindependent.co.zw, Daily News: dailynews.co.zw, The Sunday Mail: sundaymail.co.zw, 263Chat: 263chat.com, ZimLive: zimlive.com, NewZimbabwe: newzimbabwe.com, The Zimbabwean: thezimbabwean.co",10
Africa,Zimbabwe,Independent and Alternative News Sites,"ZimEye: zimeye.net, Pindula News: pindula.co.zw, TechZim: techzim.co.zw, Kubatana.net: kubatana.net",4
Africa,Zimbabwe,Shona and Ndebele-Language Publications,"Kwayedza: herald.co.zw, uMthunywa: chronicle.co.zw, H-Metro: hmetro.co.zw",3
Asia,Afghanistan,Leading Dari & Pashto News Sources in Afghanistan,"BBC Persian (Dari): bbc.com, Radio Free Europe/Radio Liberty (Azadi Radio): rferl.org, Etilaat Roz: etilaatroz.com, Daily Afghanistan: dailyafghanistan.com, Cheragh Daily: cheraghdaily.org, Hewad Daily: hewad.com, Mandegar Daily: mandegardaily.com, Wakht News Agency: wakhtnews.af, Shamshad TV: shamshad.tv, Bakhtar News Agency: bakhtarnews.af, Rah Press: rahpress.com, Nunn.Asia: nunn.asia",12
Asia,Afghanistan,Regional & Specialized Publications,"Rukhshana Media: rukhshana.com, Afghanistan Analysts Network: afghanistan-analysts.org, The Killid Group: tkg.af, Afghan Islamic Press (AIP): aipnews.com, Sarnesht: sarnesht.com, Gharghasht TV: gharghasht.tv",6
Asia,Afghanistan,Top English-Language Newspapers in Afghanistan,"TOLOnews: tolonews.com, Ariana News: ariananews.af, Khaama Press: khaama.com, Pajhwok Afghan News: pajhwok.com, Afghanistan Times: afghanistantimes.af, Hasht-e Subh Daily: 8am.af",6
Asia,Bangladesh,Barishal & Southern Delta,"The Daily Ajker Barta: ajkerbarta.com, The Daily Lokabani: dailylokabani.com",2
Asia,Bangladesh,Chittagong & Southeast Region,"Dainik Azadi: dainikazadi.org, The Daily Purbokone: dailypurbokone.net, Cox’s Bazar Times: coxsbazartimes.com",3
Asia,Bangladesh,Khulna & Southwest Region,"The Daily Purbanchal: dailypurbanchal.com, Rupsha Ragar: rupsharagar.com",2
Asia,Bangladesh,Leading Bengali Dailies in Bangladesh – Must-Read Newspapers,"Prothom Alo: prothomalo.com, Jugantor: jugantor.com, Kaler Kantho: kalerkantho.com, Samakal: samakal.com, Ittefaq: ittefaq.com.bd, Manab Zamin: mzamin.com, Naya Diganta: dailynayadiganta.com, Amader Shomoy: dainikamadershomoy.com, Bhorer Kagoj: bhorerkagoj.com, Inqilab: dailyinqilab.com, Sangbad: sangbad.net.bd, Dainik Azadi: dainikazadi.org, Daily Bangladesh: daily-bangladesh.com, RisingBD: risingbd.com, Bangla News 24: banglanews24.com, Somoy TV News: somoynews.tv",16
Asia,Bangladesh,Mymensingh & Central Region,"The Daily Amar Desh Amar Gram: addag.com, The Daily Kishoreganj Barta: kishoreganjbarta.com",2
Asia,Bangladesh,Rajshahi & Northwest Region,"The Daily Sonar Desh: dailysonardesh.com, The Daily Natun Provat: dailynatunprovat.com",2
Asia,Bangladesh,Rangpur & Northern Region,"The Daily Paribartan: dailyparibartan.com, Dainik Uttarbanga Sambad: uttarbangasambad.com",2
Asia,Bangladesh,Regional Newspapers in Bangladesh – Local News Coverage,"Sylhet & Northeast Region: , Chittagong & Southeast Region: , Khulna & Southwest Region: , Rajshahi & Northwest Region: , Rangpur & Northern Region: , Barishal & Southern Delta: , Mymensingh & Central Region: ",7
Asia,Bangladesh,Sylhet & Northeast Region,"Sylheter Dak: sylheterdak.com.bd, The Daily Sylhet Mirror: sylhetmirror.com, Alokito Sylhet: alokitosylhet.com",3
Asia,Bangladesh,Top English Newspapers in Bangladesh – Trusted BD News Sources,"The Daily Star: thedailystar.net, Dhaka Tribune: dhakatribune.com, New Age: newagebd.net, The Business Standard: tbsnews.net, Bangladesh Post: bangladeshpost.net, The Financial Express: thefinancialexpress.com.bd, UNB (United News of Bangladesh): unb.com.bd, BD News 24: bdnews24.com",8
Asia,Cambodia,English Publications,"The Phnom Penh Post: phnompenhpost.com, The Khmer Times: khmertimeskh.com, Cambodia Daily: cambodiadaily.com, Southeast Asia Globe: southeastasiaglobe.com, VOD English: vodenglish.news, CamboJA News: cambojanews.com, ASEAN Today: aseantoday.com",7
Asia,Cambodia,Khmer-Language Publications,"Koh Santepheap: kohsantepheapdaily.com.kh, Rasmei Kampuchea: rasmeinews.kh, Fresh News: freshnewsasia.com, Thmey Thmey: thmeythmey.com, Cambodia Express News: cambodiaexpressnews.com, Post Khmer: postkhmer.com, Nokorwat News: nokorwatnews.com, Sabay News: sabay.com.kh, TVK News: tvk.gov.kh, Bayon TV News: bayonnews.tv, Hang Meas News: hangmeasnews.com, DAP News: dap-news.com, CNE (Cambodia News English): cne.wtf",13
Asia,Cambodia,Other Languages & Niche Publications,"Le Petit Journal Cambodge: lepetitjournal.com, Cambodia China Times: cambodiachinatimes.com, Kampuchea Thmey: kampucheathmey.com, PNN (Phnom Penh News): pnn.com.kh, Popular News: popularnews.com.kh, Apsara News: apsaranews.com",6
Asia,China,Additional Notable Outlets,"Economic Observer (经济观察报): eeo.com.cn, Legal Daily (法制日报): legaldaily.com.cn, Health Times (健康时报): jksb.com.cn, Worker's Daily (工人日报): workercn.cn",4
Asia,China,Business & Financial News,"Caixin (财新网): caixin.com, 21st Century Business Herald (21世纪经济报道): 21jingji.com, Yicai (第一财经): yicai.com, Bloomberg China (彭博社): bloomberg.com, Sina Finance (新浪财经): finance.sina.com.cn",5
Asia,China,Chinese-Language National Newspapers (中文),"People's Daily (人民日报): people.com.cn, Global Times (环球时报): globaltimes.cn, China Daily (中国日报): chinadaily.com.cn, Xinhua News Agency (新华社): xinhuanet.com, Guangming Daily (光明日报): gmw.cn",5
Asia,China,English-Language News Outlets,"South China Morning Post: scmp.com, Sixth Tone: sixthtone.com, China News Service (中国新闻社): ecns.cn, The Paper (澎湃新闻 English): thepaper.cn, CGTN (中国国际电视台): cgtn.com",5
Asia,China,Lifestyle & Culture,"Lifeweek (三联生活周刊): lifeweek.com.cn, China Culture Daily (中国文化报): ccdy.cn, That's Magazines: thatsmags.com",3
Asia,China,Politics & Current Affairs,"Study Times (学习时报): studytimes.cn, Qiushi Journal (求是): qstheory.cn, China Youth Daily (中国青年报): cyol.com",3
Asia,China,Regional & Local Newspapers,"Beijing News (新京报): bjnews.com.cn, Southern Metropolis Daily (南方都市报): oeeee.com, Shanghai Daily (上海日报): shine.cn, Shenzhen Special Zone Daily (深圳特区报): sztqb.sznews.com, Chengdu Business Daily (成都商报): e.chengdu.cn",5
Asia,China,Sports (体育),"Titan Sports (体坛周报): titansports.cn, PP Sports (PP体育): ppsport.com",2
Asia,China,Technology & Innovation,"36Kr (36氪): 36kr.com, PingWest (品玩): pingwest.com, IT Times (IT时报): ittime.com.cn",3
Asia,Georgia,English-Language Publications,"Georgia Today: georgiatoday.ge, Agenda.ge: agenda.ge, The Messenger: messenger.com.ge, Civil.ge: civil.ge, JAMnews (Georgia): jam-news.net, OC Media: oc-media.org, bM Georgia: bm.ge, Hvino News: hvino.com, Georgian Journal: georgianjournal.ge, DFWatch (Democracy & Freedom Watch): dfwatch.net",10
Asia,Georgia,Leading Georgian-Language Newspapers,"Rezonansi: rezonansi.ge, Kviris Palitra: kvirispalitra.ge, Netgazeti: netgazeti.ge, Tabula: tabula.ge, Publika: publika.ge, Mtavari Arkhi (Main Channel): mtavari.tv, Rustavi 2: rustavi2.ge, TV Pirveli: tvpirveli.ge, Interpressnews: interpressnews.ge, Sputnik Georgia (Russian-backed): sputnik-georgia.ru",10
Asia,Georgia,Russian-Language Publications,"SOVA: sova.news, Vestnik Kavkaza: vestikavkaza.ru, Georgia Online: georgia-apsny.ge, Ekhokavkaza (Echo of the Caucasus): ekhokavkaza.com, Regnum (Georgia Section): regnum.ru",5
Asia,India,Business & Financial News,"Moneycontrol: moneycontrol.com, CNBC TV18: cnbctv18.com",2
Asia,India,Digital-First News Platforms,"Scroll.in: scroll.in, The Wire: thewire.in, Newslaundry: newslaundry.com",3
Asia,India,English-Language Newspapers in India,"The Times of India: timesofindia.indiatimes.com, The Hindu: thehindu.com, Hindustan Times: hindustantimes.com, The Indian Express: indianexpress.com, Deccan Chronicle: deccanchronicle.com, The Telegraph: telegraphindia.com, Mint: livemint.com, Business Standard: business-standard.com, The Economic Times: economictimes.indiatimes.com, The Print: theprint.in",10
Asia,India,Government & Policy,PIB India: pib.gov.in,1
Asia,India,Hindi-Language News Outlets (हिंदी),"Dainik Jagran: jagran.com, Amar Ujala: amarujala.com, Dainik Bhaskar: bhaskar.com, Navbharat Times: navbharattimes.indiatimes.com, Prabhat Khabar: prabhatkhabar.com",5
Asia,India,International Focus,"The Wire Science: science.thewire.in, The Quint: thequint.com",2
Asia,India,Regional Language Newspapers,"Anandabazar Patrika: anandabazar.com, Ei Samay: eisamay.indiatimes.com, Lokmat: lokmat.com, Sakal: esakal.com, Daily Thanthi: dailythanthi.com, Dinamalar: dinamalar.com, Eenadu: eenadu.net, Sakshi: sakshi.com, Malayala Manorama: manoramaonline.com, Mathrubhumi: mathrubhumi.com, Vijaya Karnataka: vijaykarnataka.com, Prajavani: prajavani.com, Gujarat Samachar: gujaratsamachar.com, Divya Bhaskar: divyabhaskar.co.in, Jag Bani: jagbani.com",15
Asia,India,Sports & Entertainment,"Sportskeeda: sportskeeda.com, Filmfare: filmfare.com",2
Asia,Indonesia,"Arts, Culture & Lifestyle","Kedaulatan Rakyat (Yogyakarta): kedaulatanrakyat.co.id, Grid Network (Popbela, Hai): grid.id, DestinAsian: destinasian.com, Female Daily: femaledaily.com, Qubicle: qubicle.id",5
Asia,Indonesia,Business & Financial News,"Bisnis Indonesia: bisnisindonesia.id, Kontan: kontan.co.id, Investor Daily: investor.id, CNBC Indonesia: cnbcindonesia.com, Marketplus.co.id: marketplus.co.id",5
Asia,Indonesia,English-Language News Sources,"The Jakarta Post: thejakartapost.com, Jakarta Globe: jakartaglobe.id, Indonesia Expat: indonesiaexpat.biz, Coconuts Jakarta: coconuts.co, ASEAN Today: aseantoday.com",5
Asia,Indonesia,Indonesian-Language (Bahasa Indonesia) News,"Kompas: kompas.com, Koran Tempo: koran.tempo.co, Media Indonesia: mediaindonesia.com, Republika: republika.co.id, Sindo News (Seputar Indonesia): sindonews.com, Detikcom: detik.com, CNN Indonesia: cnnindonesia.com, Tempo.co: tempo.co, Kumparan: kumparan.com, Suara.com: suara.com",10
Asia,Indonesia,Regional & Local Newspapers,"Pikiran Rakyat (Bandung): pikiran-rakyat.com, Jawa Pos (Surabaya): jawapos.com, Tribun Network (Multiple Cities): tribunnews.com, Bali Post (Denpasar): balipost.com, Riau Pos (Pekanbaru): riaupos.jawapos.com",5
Asia,Indonesia,Sports & Entertainment,"Bola.com: bola.com, Bola.net: bola.net, Liputan6: liputan6.com, Hot Detik: hot.detik.com, Dunia Games: duniagames.co.id",5
Asia,Iran,Leading Persian Newspapers for Iran News,"Kayhan: kayhan.ir, Jomhouri-e Eslami: jomhourieslami.com, Hamshahri: hamshahrionline.ir, Shargh: sharghdaily.com, Etemad: etemadnewspaper.ir, Donya-e-Eqtesad: donya-e-eqtesad.com, Aftab-e Yazd: aftab-yazd.com, Javan: javanonline.ir, Resalat: resalat-news.com, Iran: iran-newspaper.com, Khabar Online: khabaronline.ir, Tasnim News Agency: tasnimnews.com, Fars News Agency: farsnews.ir, ISNA (Iranian Students' News Agency): isna.ir, IRNA (Islamic Republic News Agency): irna.ir",15
Asia,Iran,Other Language Publications,"Al-Alam News Network (Arabic): alalam.ir, HispanTV (Spanish): hispantv.com, Pars Today (Multilingual): parstoday.com, Khabar International (Azeri/Turkish): khabaraz.ir",4
Asia,Iran,Top English-Language Newspapers in Iran,"Tehran Times: tehrantimes.com, Press TV: presstv.ir, Financial Tribune: financialtribune.com, Iran Daily: iran-daily.com, Mehr News Agency (English): en.mehrnews.com, IFP News (Iran Front Page): ifpnews.com, Kayhan International: kayhan.ir",7
Asia,Iraq,Kurdish-Language Iraqi Newspapers for Regional Updates,"Rudaw (Kurdish): rudaw.net, Kurdistan TV: kurdistantv.net, Awene: awene.com, PUKmedia: pukmedia.com, BasNews: basnews.com, KNN: knnnews.net, Hawlati: hawlati.info",7
Asia,Iraq,Leading Arabic Newspapers Covering Iraq News,"Al-Sabah: alsabaah.iq, Al-Mada: almadapaper.net, Al-Zaman Iraq: azzaman.com, Alsumaria TV: alsumaria.tv, Buratha News: burathanews.com, Al Ghad Press: alghadpress.com, Alforat News: alforatnews.iq, Dijlah TV: dijla.tv, Nas News: nasnews.com, Kitabat: kitabat.com",10
Asia,Iraq,Top English-Language Newspapers in Iraq,"Rudaw English: rudaw.net, Iraqi News: iraqinews.com, The Baghdad Post: thebaghdadpost.com, Shafaq News (English): shafaq.com, Kurdistan 24: kurdistan24.net, NRT English: nrtenglish.com",6
Asia,Japan,Additional Notable Outlets,"Jiji Press (時事通信): jiji.com, Ministry of Foreign Affairs (MOFA): mofa.go.jp, Japan Forward: japan-forward.com, Zenbird: zenbird.media",4
Asia,Japan,Arts & Culture,"Nippon.com: nippon.com, Spoon & Tamago: spoon-tamago.com, Tokyo Art Beat: tokyoartbeat.com",3
Asia,Japan,Business & Financial News,"Nikkei Asian Review: asia.nikkei.com, Bloomberg Japan (ブルームバーグ): bloomberg.co.jp, Toyokeizai (東洋経済): toyokeizai.net, Diamond Online (ダイヤモンドオンライン): diamond.jp, Reuters Japan (ロイター): jp.reuters.com",5
Asia,Japan,English-Language News Sources,"The Japan Times: japantimes.co.jp, NHK World-Japan: www3.nhk.or.jp, Kyodo News (English): english.kyodonews.net, Japan Today: japantoday.com, GaijinPot Blog: blog.gaijinpot.com",5
Asia,Japan,Japanese-Language Newspapers (日本語),"Yomiuri Shimbun (読売新聞): yomiuri.co.jp, Asahi Shimbun (朝日新聞): asahi.com, Mainichi Shimbun (毎日新聞): mainichi.jp, Nihon Keizai Shimbun (日本経済新聞): nikkei.com, Sankei Shimbun (産経新聞): sankei.com",5
Asia,Japan,Lifestyle & Entertainment,"SoraNews24: soranews24.com, Grape Japan: grapee.jp, Time Out Tokyo: timeout.com",3
Asia,Japan,Politics & Investigative Journalism,"Shukan Kinyobi (週刊金曜日): kinyobi.co.jp, Aera (アエラ): dot.asahi.com, Shukan Bunshun (週刊文春): bunshun.jp, Tokyo Reporter: tokyoreporter.com",4
Asia,Japan,Regional & Local Newspapers (日本語),"Tokyo Shimbun (東京新聞): tokyo-np.co.jp, Chunichi Shimbun (中日新聞): chunichi.co.jp, Hokkaido Shimbun (北海道新聞): hokkaido-np.co.jp, Nishinippon Shimbun (西日本新聞): nishinippon.co.jp, Ryukyu Shimpo (琉球新報): ryukyushimpo.jp",5
Asia,Japan,Sports (日本語),"Sponichi Annex (スポニチ): sponichi.co.jp, Hochi Shimbun (報知新聞): hochi.co.jp, Nikkan Sports (日刊スポーツ): nikkansports.com",3
Asia,Japan,Technology & Gaming,"ITmedia: itmedia.co.jp, Famitsu: famitsu.com, 4Gamer.net: 4gamer.net",3
Asia,Laos,Business & Specialized Publications,"Lao Business Daily: laobusinessdaily.com, Lao Development News: laodevelopmentnews.com",2
Asia,Laos,English Publications,"Vientiane Times: vientianetimes.org.la, Laotian Times: laotiantimes.com, The Star (Laos section): thestar.com.my",3
Asia,Laos,Lao-Language Publications,"Pasaxon (The People): pasaxon.org.la, Vientiane Mai (New Vientiane): vientianemai.net, Pathet Lao: pathetlao.la, Lao News Agency (KPL): kpl.gov.la, Lao Post: laopost.com, Lao Economic Daily: laoedaily.com.la, Xinhua Laos: xinhuanet.com",7
Asia,Laos,Other Key Publications & Platforms,"Le Rénovateur: lerenovateur.la, Lao News: laonews.org, Lao Voices: laovoices.com, The Laotian: thelaotian.com, Radio Free Asia (Lao Service): rfa.org, Voice of America – Lao: voanews.com",6
Asia,Laos,Regional & International Coverage,"ASEAN Today: aseantoday.com, Nikkei Asia: asia.nikkei.com, The Diplomat: thediplomat.com, Reuters: reuters.com, Al Jazeera: aljazeera.com",5
Asia,Malaysia,Chinese-Language Publications,"Sin Chew Daily: sinchew.com.my, China Press: chinapress.com.my, Nanyang Siang Pau: enanyang.my, Oriental Daily News: orientaldaily.com.my, Kwong Wah Yit Poh: kwongwah.com.my, The Sun Daily (Chinese Section): thesundaily.my",6
Asia,Malaysia,English-Language Publications,"The Star: thestar.com.my, Malay Mail: malaymail.com, New Straits Times (NST): nst.com.my, Free Malaysia Today (FMT): freemalaysiatoday.com, The Edge Malaysia: theedgemarkets.com, Malaysiakini (English Section): malaysiakini.com, South China Morning Post (Malaysia Section): scmp.com",7
Asia,Malaysia,Malay-Language (Bahasa Malaysia) Publications,"Utusan Malaysia: utusan.com.my, Berita Harian: bharian.com.my, Harian Metro: hmetro.com.my, Kosmo!: kosmo.com.my, Sinar Harian: sinarharian.com.my, Astro Awani: astroawani.com, mStar: mstar.com.my",7
Asia,Malaysia,Online-Only & Alternative News,"The Vibes: thevibes.com, Malaysia Gazette: malaysiagazette.com, Rocketkini: therocket.com.my, Cilisos.my: cilisos.my, Twentytwo13: twentytwo13.my",5
Asia,Malaysia,Tamil-Language Publications,"Tamil Nesan: tamilnesan.com.my, Malaysia Nanban: nanban.com.my, Makkal Osai: makkalosai.com.my",3
Asia,Myanmar,Ethnic & Regional Newspapers in Myanmar,"Kachinland News: kachinlandnews.com, Shan Herald: shannews.org, Karen News: karennews.org, Chinland Guardian: chinlandguardian.com, BNI Online: bnionline.net, Myanmar Digital News: mdn.gov.mm, Myanma Alinn: myanmaalinn.com.mm, The Thaiger (Myanmar Section): thethaiger.com",8
Asia,Myanmar,Leading English-Language Newspapers in Myanmar,"The Myanmar Times: myanmartimes.com, Frontier Myanmar: frontiermyanmar.net, The Irrawaddy: irrawaddy.com, Mizzima: mizzima.com, Myanmar Now: myanmar-now.org, Eleven Media: elevenmyanmar.com, Global New Light of Myanmar: globalnewlightofmyanmar.com, The Standard: thestandard.com.mm",8
Asia,Myanmar,Popular Burmese News Sources for Local Updates,"7Day News: 7daynews.com.mm, The Voice Daily: thevoicemyanmar.com, Daily Eleven: elevenmedia.group, Khit Thit Media: khithit.com, DVB (Democratic Voice of Burma): dvb.no, Mawkun: mawkun.com, Narinjara: narinjara.com, Yangon Media Group: yangonmediagroup.com",8
Asia,Nepal,Business and Specialized News,"Khabarhub: khabarhub.com, ShareSansar: sharesansar.com, TechPana: techpana.com",3
Asia,Nepal,English-Language Publications,"The Kathmandu Post: kathmandupost.com, The Himalayan Times: thehimalayantimes.com, Republica: myrepublica.nagariknetwork.com, Onlinekhabar (English): english.onlinekhabar.com, Nepali Times: nepalitimes.com, Setopati (English): english.setopati.com",6
Asia,Nepal,"Maithili, Bhojpuri and Newari Publications","The Mithila Post: mithilapost.com, Bhojpuria Khabar: bhojpuriakhabar.com, Newa Vision: newavision.com.np, Dainik Aawaz: dainikaawaz.com",4
Asia,Nepal,Nepali Publications,"Kantipur: ekantipur.com, Nagarik Daily: nagariknews.nagariknetwork.com, Annapurna Post: theannapurnapost.com, Gorkhapatra: gorkhapatraonline.com, Onlinekhabar (Nepali): onlinekhabar.com, Setopati (Nepali): setopati.com, Ratopati: ratopati.com, Ukaalo: ukaalo.com.np, Himal Khabarpatrika: himalmedia.com",9
Asia,Pakistan,Business & Financial News,"Profit by Pakistan Today: profit.pakistantoday.com.pk, Mettis Global: mettisglobal.news, CNBC Pakistan: cnbcpakistan.com",3
Asia,Pakistan,Digital-First News Platforms,"Geo News: geo.tv, ARY News: arynews.tv, Samaa TV: samaa.tv, The Current: thecurrent.pk",4
Asia,Pakistan,English-Language Newspapers,"Dawn: dawn.com, The News International: thenews.com.pk, The Express Tribune: tribune.com.pk, Business Recorder: brecorder.com, Pakistan Today: pakistantoday.com.pk",5
Asia,Pakistan,Lifestyle & Entertainment,"Something Haute: somethinghaute.com, Galaxy Lollywood: galaxylollywood.com",2
Asia,Pakistan,Politics & Investigative Journalism,"The Friday Times: thefridaytimes.com, Naya Daur: nayadaur.tv, HumSub: humsub.com.pk",3
Asia,Pakistan,Regional Language Newspapers,"Kawish: kawishonline.com, Wahdat: wahdatnews.com, Daily Azadi: dailyazadi.com",3
Asia,Pakistan,Sports News,"Cricwick: cricwick.com, PakPassion: pakpassion.net",2
Asia,Pakistan,Urdu-Language Newspapers (اردو),"Jang: jang.com.pk, Express: express.com.pk, Nawa-i-Waqt: nawaiwaqt.com.pk, Dunya: dunya.com.pk, Khabrain: khabrain.com.pk",5
Asia,Philippines,Business & Financial News,"BusinessMirror: businessmirror.com.ph, Malaya Business Insight: malaya.com.ph, The Edge Philippines: theedge.com.ph",3
Asia,Philippines,Digital-First News Platforms,"Rappler: rappler.com, CNN Philippines: cnnphilippines.com, ABS-CBN News: news.abs-cbn.com, GMA News Online: gmanetwork.com, Interaksyon: interaksyon.philstar.com",5
Asia,Philippines,English-Language National Newspapers,"Philippine Daily Inquirer: inquirer.net, The Philippine Star: philstar.com, Manila Bulletin: mb.com.ph, BusinessWorld: bworldonline.com, The Manila Times: manilatimes.net",5
Asia,Philippines,Filipino-Language News (Tagalog),"Abante: abante.com.ph, Pilipino Star Ngayon: philstar.com, Balita: balita.net.ph, Bandera: bandera.inquirer.net, Remate: remate.ph",5
Asia,Philippines,Lifestyle & Entertainment,"Preview: preview.ph, Spot.ph: spot.ph, PEP.ph: pep.ph",3
Asia,Philippines,Politics & Investigative Journalism,"VERA Files: verafiles.org, Bulatlat: bulatlat.com, Philippine Center for Investigative Journalism (PCIJ): pcij.org",3
Asia,Philippines,Regional Language Newspapers,"SunStar Cebu: sunstar.com.ph, Banat News: banat.ph, Bannawag: bannawag.kompas.ph, Panay News: panaynews.net",4
Asia,Philippines,Sports & Gaming,"Cricwick: cricwick.com, PakPassion: pakpassion.net",2
Asia,South Korea,"Arts, Culture & Lifestyle","Kpop Herald: kpopherald.koreaherald.com, 10Asia: tenasia.hankyung.com, The Korea Economic Daily Culture: munhwa.com, Sports Chosun: sports.chosun.com, OSEN: osen.co.kr",5
Asia,South Korea,Business & Financial Focus,"The Bell: thebell.co.kr, Fn News: fnnews.com, Hankyung (한국경제): hankyung.com, Asia Today: asiatoday.co.kr, Korea IT Times: koreaittimes.com",5
Asia,South Korea,English-Language News Sources,"The Korea Herald: koreaherald.com, The Korea Times: koreatimes.co.kr, JoongAng Daily: koreajoongangdaily.joins.com, Yonhap News Agency (English Edition): en.yna.co.kr, The Hankyoreh (English Edition): english.hani.co.kr, The Daily NK: dailynk.com, Seoul Times: theseoultimes.com, Korea Economic Daily (KED Global): kedglobal.com, BusinessKorea: businesskorea.co.kr",9
Asia,South Korea,Korean-Language News Outlets,"Chosun Ilbo (조선일보): chosun.com, Donga Ilbo (동아일보): donga.com, JoongAng Ilbo (중앙일보): joongang.co.kr, Hankook Ilbo (한국일보): hankookilbo.com, Kyunghyang Shinmun (경향신문): khan.co.kr, Hankyoreh (한겨레): hani.co.kr, Maeil Business Newspaper (매일경제): mk.co.kr, Seoul Shinmun (서울신문): seoul.co.kr, Oh My News (오마이뉴스): ohmynews.com, Pressian (프레시안): pressian.com, Money Today (머니투데이): news.mt.co.kr, Edaily (이데일리): edaily.co.kr, News1 (뉴스1): news1.kr, YTN (와이티엔): ytn.co.kr, SBS News (에스비에스 뉴스): news.sbs.co.kr, KBS News (한국방송공사 뉴스): news.kbs.co.kr, MBC News (문화방송 뉴스): imnews.imbc.com, JTBC News (제이티비씨 뉴스): news.jtbc.co.kr, Channel A News (채널A 뉴스): news.ichannela.com, MBN News (매일방송 뉴스): mbn.co.kr",20
Asia,South Korea,Politics & Investigative Journalism,"Newstapa: newstapa.org, Media Today: mediatoday.co.kr, VOP (민중의소리): vop.co.kr, Kukmin Ilbo: kmib.co.kr, Herald Business: news.heraldcorp.com",5
Asia,South Korea,Regional & Local Newspapers,"Busan Ilbo (부산일보): busan.com, Gyeongin Ilbo (경인일보): kyeongin.com, Jeju Ilbo (제주일보): jejuilbo.net, Gangwon Ilbo (강원일보): kwnews.co.kr, Daegu Ilbo (대구일보): idaegu.com",5
Asia,Syria,International/Exile-Based,"Syria Untold: syriauntold.com, The Levant News: thelevantnews.com, Syria Report: syria-report.com, Radio Al-Kul: radioalkul.com, Smart News Agency: smartnews-agency.com",5
Asia,Syria,Kurdish & Other Languages,"Hawar News: hawarnews.com, ANHA (Hawar News Agency): anfenglish.com, Arta FM: arta.fm",3
Asia,Syria,Syrian Newspapers in English: Key Sources for Global Readers,"Syria Times: syriatimes.sy, The Syrian Observer: syrianobserver.com, Enab Baladi (English Section): english.enabbaladi.net, Syria Direct: syriadirect.org",4
Asia,Syria,Top Arabic-Language Newspapers in Syria,"Al-Thawra: thawra.sy, Tishreen: tishreen.news.sy, Al-Watan: alwatan.sy, SANA (Syrian Arab News Agency): sana.sy, Orient Net: orient-net.net, Zaman al-Wasl: en.zamanalwsl.net, Baladi News: baladinow.net, Syria TV: syria.tv, Al-Modon: almodon.com, All4Syria: all4syria.info, Nabd News: nabd.sy",11
Asia,Taiwan,Chinese-Language News Media List,"United Daily News (UDN): udn.com, Liberty Times (Liberty Times Net): ltn.com.tw, China Times: chinatimes.com, Apple Daily Taiwan: tw.appledaily.com, Storm Media: storm.mg",5
Asia,Taiwan,English-Language News Sources,"Taipei Times: taipeitimes.com, Taiwan News: taiwannews.com.tw, Focus Taiwan: focustaiwan.tw, The News Lens: international.thenewslens.com, Taiwan Today: taiwantoday.tw",5
Asia,Taiwan,"Other Languages (Mainly Japanese, Korean, and Others)","Japan Times (English): japantimes.co.jp, Korea Times (English): koreatimes.co.kr, Malay Mail (English): malaymail.com, South China Morning Post (English): scmp.com, Nikkei Asia (English): asia.nikkei.com",5
Asia,Taiwan,Regional and Specialized Publications,"The Diplomat: thediplomat.com, Taiwan Business Topics: topics.amcham.com.tw, Taiwan Review: taiwanreview.nat.gov.tw, EBC News (Chinese & English): english.rti.org.tw, Radio Taiwan International (RTI): rti.org.tw, Taiwan Insider: taiwaninsider.nat.gov.tw, Money Weekly (Chinese): moneyweekly.com.tw, Liberty Times Net: news.ltn.com.tw, China Post: chinapost.nownews.com, Taiwan Daily: taiwandaily.com",10
Asia,Thailand,Arabic-Language Publications,Al-Youm Al-Thai (اليوم التايلاندي): althailandi.com,1
Asia,Thailand,Best English-Language Newspapers in Thailand,"Bangkok Post: bangkokpost.com, The Nation Thailand: nationthailand.com, Thai PBS World: thaipbsworld.com, Khaosod English: khaosodenglish.com, Pattaya Mail: pattayamail.com, The Phuket News: thephuketnews.com, The Thaiger: thethaiger.com, Coconuts Bangkok: coconuts.co, ASEAN Now (formerly ThaiVisa News): aseannow.com",9
